,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
0,Afghanistan,AFG,2021-05-11,504502.0,448878.0,55624.0,12,40094444.0,1.1195516266543064
1,Afghanistan,AFG,2021-05-20,547901.0,470341.0,77560.0,10,40094444.0,1.1730827343559123
2,Afghanistan,AFG,2021-05-24,573277.0,476367.0,96910.0,10,40094444.0,1.1881122481708437
3,Afghanistan,AFG,2021-05-26,590454.0,479372.0,111082.0,19,40094444.0,1.1956070521890765
4,Afghanistan,AFG,2021-05-27,593313.0,479574.0,113739.0,14,40094444.0,1.1961108626422154
5,Afghanistan,AFG,2021-05-30,600152.0,480226.0,119926.0,20,40094444.0,1.1977370231147237
6,Afghanistan,AFG,2021-06-02,626290.0,481690.0,144600.0,34,40094444.0,1.2013884018444052
7,Afghanistan,AFG,2021-06-03,630305.0,481800.0,148505.0,27,40094444.0,1.2016627540713622
8,Afghanistan,AFG,2021-06-08,641295.0,482952.0,158343.0,64,40094444.0,1.2045359701209475
9,Afghanistan,AFG,2021-06-14,662003.0,484737.0,177266.0,85,40094444.0,1.2089879585311123
10,Afghanistan,AFG,2021-06-22,765890.0,582128.0,183762.0,78,40094444.0,1.4518919379453175
11,Afghanistan,AFG,2021-06-27,835694.0,649434.0,186260.0,56,40094444.0,1.6197605832868014
12,Afghanistan,AFG,2021-06-30,886854.0,699200.0,187654.0,77,40094444.0,1.743882518984426
13,Afghanistan,AFG,2021-07-05,915671.0,726349.0,189322.0,84,40094444.0,1.8115951427085508
14,Afghanistan,AFG,2021-07-07,934463.0,735213.0,199250.0,55,40094444.0,1.8337029439789714
15,Afghanistan,AFG,2021-07-11,962093.0,742934.0,219159.0,86,40094444.0,1.8529599762001938
16,Afghanistan,AFG,2021-08-20,1201286.0,770542.0,430744.0,7,40094444.0,1.9218173969440755
17,Albania,ALB,2021-02-02,550.0,549.0,1.0,13,2871380.0,0.019119726403332194
18,Albania,ALB,2021-02-09,1127.0,689.0,438.0,12,2871380.0,0.02399543076848066
19,Albania,ALB,2021-02-17,1701.0,1090.0,611.0,15,2871380.0,0.03796084112865591
20,Albania,ALB,2021-02-18,3049.0,2438.0,611.0,18,2871380.0,0.08490690887308541
21,Albania,ALB,2021-02-22,6728.0,6073.0,655.0,13,2871380.0,0.2115010900681902
22,Albania,ALB,2021-05-11,622507.0,440921.0,181586.0,4,2871380.0,15.355717459897331
23,Albania,ALB,2021-05-12,632676.0,444755.0,187921.0,4,2871380.0,15.489242106582898
24,Albania,ALB,2021-05-13,638338.0,445402.0,192936.0,3,2871380.0,15.511774826041833
25,Albania,ALB,2021-05-14,653330.0,448571.0,204759.0,3,2871380.0,15.622139876992943
26,Albania,ALB,2021-05-17,680083.0,456980.0,223103.0,3,2871380.0,15.914995577039612
